Date,Item,T1-1,T1-2,T1-3,T2-1,T2-2,T2-3,T3-1,T3-2,T3-3,T4-1,T4-2,T4-3,Type,Delta,Time,ValVN30,VolMax5m
10/2/2023,Trend,921,219,219,192,192,192,129,921,291,219,291,291,GT0,6.2,1:40:00 PM,3.639,8700
10/3/2023,Trend,291,291,291,291,291,291,291,129,129,921,921,921,LT10,-35.5,2:20:00 PM,7.37,17587
10/4/2023,Trend,921,291,129,912,912,192,192,192,192,192,192,912,GT10,1.2,2:15:00 PM,4.637,11124
10/5/2023,Trend,291,291,291,291,219,219,192,921,921,921,921,921,LT5,-12.5,2:10:00 PM,3.823,10285
10/6/2023,Trend,291,291,219,921,291,219,129,192,192,192,192,192,GT10,18.4,2:15:00 PM,4.035,12430
10/9/2023,Trend,912,192,192,912,921,921,912,921,192,129,129,129,GT5,6.6,2:15:00 PM,4.266,12025
10/10/2023,Trend,192,192,912,912,912,192,921,291,291,291,291,291,LT0,12,9:00:00 AM,4.715,12143
10/11/2023,Trend,129,291,192,129,219,219,921,129,129,129,192,192,GT0,9,2:00:00 PM,3.511,12546
10/12/2023,Trend,192,912,921,219,129,921,921,921,921,291,291,291,LT5,-4.5,2:20:00 PM,4.534,10812
10/13/2023,Trend,291,291,291,291,921,921,291,129,129,129,129,192,GT5,-0.5,2:00:00 PM,4.494,15260
10/16/2023,Trend,912,291,291,291,291,291,129,192,921,921,921,921,LT10,-14.6,2:05:00 PM,5.393,13212
10/17/2023,Trend,129,129,912,129,129,192,291,129,291,921,291,291,LT0,-11.5,2:25:00 PM,4.189,12990
10/18/2023,Trend,921,291,291,129,129,129,192,921,921,921,921,921,LT20,-9.9,2:15:00 PM,6.859,16378
10/19/2023,Trend,291,291,291,291,291,129,192,192,192,921,921,921,LT5,-13,2:15:00 PM,5.036,12046
10/20/2023,Trend,921,291,291,291,291,291,129,192,192,192,192,192,GT10,18,2:20:00 PM,4.55,17283
10/23/2023,Trend,192,291,291,291,291,291,129,192,921,921,921,192,LT5,-12.1,2:25:00 PM,3.929,20195
10/24/2023,Trend,192,192,192,291,219,129,129,192,192,192,192,192,GT0,7.1,2:00:00 PM,3.199,13745
10/25/2023,Trend,921,921,192,912,192,912,291,219,219,291,291,291,LT5,-2.8,2:00:00 PM,3.197,11890
10/26/2023,Trend,921,921,291,291,291,291,129,921,921,291,291,129,LT10,-49.2,2:25:00 PM,8.763,21806
10/27/2023,Trend,129,219,921,291,291,129,921,291,291,129,129,129,LT0,8.5,2:00:00 PM,5.021,20572
10/30/2023,Trend,912,921,921,219,219,192,192,192,192,912,192,921,LT10,-28.6,2:25:00 PM,3.684,22230
10/31/2023,Trend,921,291,291,129,129,192,921,921,921,912,921,291,LT5,-0.2,2:15:00 PM,5.404,21549
11/1/2023,Trend,129,219,291,219,129,129,921,291,291,129,129,129,GT0,7.8,2:15:00 PM,4.679,17984
11/2/2023,Trend,129,192,192,192,192,192,192,192,192,192,192,192,GT20,39.5,2:15:00 PM,5.374,18733
11/3/2023,Trend,192,912,921,219,291,291,129,192,192,921,192,192,GT0,0,2:15:00 PM,5.71,14511
11/6/2023,Trend,129,129,192,921,921,291,129,192,912,921,192,921,GT0,19,9:00:00 AM,4.648,13366
11/7/2023,Trend,219,291,219,219,129,921,291,291,291,129,291,291,LT0,-10.6,2:10:00 PM,3.71,9363
11/8/2023,Trend,291,291,291,219,219,192,129,129,129,129,192,192,GT20,38.6,2:00:00 PM,6.515,25305
11/9/2023,Trend,192,912,192,192,921,921,921,291,291,129,291,291,LT0,-9,2:15:00 PM,6.762,17396
11/10/2023,Trend,921,291,219,129,129,192,192,192,921,921,921,291,LT0,-16.5,2:15:00 PM,5.738,23313
11/13/2023,Trend,291,291,192,129,192,921,291,291,291,291,291,291,LT5,-1.5,2:20:00 PM,5.145,15484
11/14/2023,Trend,129,192,912,192,129,129,921,291,291,291,129,219,LT0,13,2:20:00 PM,6,13695
11/15/2023,Trend,129,192,192,192,192,921,291,291,291,291,291,291,LT5,14,2:20:00 PM,7.706,16391
11/16/2023,Trend,291,219,219,921,921,291,291,129,192,921,921,291,LT0,-8.9,2:05:00 PM,4.191,9063
11/17/2023,Trend,129,912,912,291,291,291,291,291,291,291,129,129,LT20,-32,2:20:00 PM,7.537,23068
11/20/2023,Trend,921,219,219,912,129,129,192,192,192,912,921,921,GT10,-3,2:20:00 PM,4.774,19235
11/21/2023,Trend,129,921,921,129,291,921,129,129,129,912,921,192,LT0,9,1:50:00 PM,3.812,17356
11/22/2023,Trend,192,192,192,921,291,921,921,291,291,129,129,129,LT0,1,2:20:00 PM,4.585,15524
11/23/2023,Trend,192,912,291,219,219,291,129,921,291,921,921,921,LT20,-32,2:25:00 PM,4.791,20536
11/24/2023,Trend,291,291,291,219,129,129,921,921,291,921,921,192,GT0,4.9,2:10:00 PM,5.276,24888
11/27/2023,Trend,192,912,912,219,129,129,192,129,291,291,921,921,LT5,-8.9,2:20:00 PM,3.563,17684
11/28/2023,Trend,291,291,291,291,291,291,129,129,192,192,912,192,GT10,11,2:25:00 PM,3.758,23332
11/29/2023,Trend,192,192,192,921,921,192,129,129,192,192,912,921,GT0,5.1,1:40:00 PM,3.512,16226
11/30/2023,Trend,921,129,129,921,291,291,291,291,291,921,192,921,LT10,-16.1,2:25:00 PM,4.072,19741
12/1/2023,Trend,291,291,219,291,291,129,921,192,912,129,129,129,GT5,14.1,2:15:00 PM,3.469,21897
12/4/2023,Trend,192,192,192,129,129,129,921,291,129,129,129,921,GT10,16.9,2:10:00 PM,7.239,15364
12/5/2023,Trend,921,219,219,291,291,291,219,921,192,921,291,291,LT5,-8,2:00:00 PM,4.635,16734
12/6/2023,Trend,129,192,192,192,192,912,291,129,129,192,129,129,GT5,12.1,2:20:00 PM,4.402,16435
12/7/2023,Trend,192,921,129,291,291,291,291,129,291,129,129,129,GT0,0.9,2:00:00 PM,8.356,25044
12/8/2023,Trend,192,129,129,192,192,921,129,129,129,921,921,921,GT0,0,2:20:00 PM,6.297,18426
12/11/2023,Trend,129,912,912,291,219,291,129,192,192,192,129,129,GT0,5,2:10:00 PM,4.509,10085
12/12/2023,Trend,192,912,921,291,291,291,192,921,921,192,912,192,LT0,1.8,2:25:00 PM,4.281,12236
12/13/2023,Trend,129,192,912,291,291,291,291,291,291,291,291,291,LT10,-11.8,2:15:00 PM,5.715,12908
12/14/2023,Trend,219,921,291,129,129,192,921,912,912,921,921,921,LT0,-3.1,2:20:00 PM,4.268,14046
12/15/2023,Trend,291,291,291,921,921,291,129,192,192,192,192,921,LT5,-4.6,2:25:00 PM,5.304,22204
12/18/2023,Trend,291,291,291,291,291,291,921,192,129,912,921,921,LT10,-17.3,2:25:00 PM,4.223,18452
12/19/2023,Trend,291,219,219,291,219,291,192,921,192,921,129,129,GT5,9.3,2:20:00 PM,4.15,17177
12/20/2023,Trend,192,192,912,129,291,291,129,192,921,192,192,192,GT0,4.8,2:10:00 PM,3.604,9530
12/21/2023,Trend,921,921,921,129,192,192,192,192,192,192,192,192,GT0,-1.4,2:25:00 PM,3.223,7586
12/22/2023,Trend,129,921,921,291,291,129,192,192,192,192,192,192,GT0,-0.7,2:20:00 PM,3.957,13062
12/25/2023,Trend,192,129,192,192,192,192,129,921,192,192,192,921,GT5,17.3,9:30:00 AM,4.184,11601
12/26/2023,Trend,921,219,129,291,129,192,192,921,192,291,129,129,GT0,6.5,2:20:00 PM,4.604,10539
12/27/2023,Trend,129,192,192,912,291,291,192,192,192,921,912,921,LT0,-4.6,2:25:00 PM,3.518,14024
12/28/2023,Trend,291,291,219,192,912,192,129,192,192,192,192,912,GT10,16.9,2:25:00 PM,4.968,10924
12/29/2023,Trend,192,912,192,129,129,192,921,921,921,291,291,219,GT0,1.7,2:15:00 PM,5.065,9565
1/2/2024,Trend,129,129,192,921,921,921,219,129,912,921,921,921,LT5,-1.1,2:15:00 PM,5.178,8284
1/3/2024,Trend,921,921,219,192,192,192,912,192,192,192,192,129,GT10,14.8,2:25:00 PM,4.756,12800
1/4/2024,Trend,129,192,192,129,129,192,192,192,192,192,921,921,GT10,8.2,2:25:00 PM,11.046,14146
1/5/2024,Trend,291,219,129,921,921,921,129,921,192,192,129,129,GT0,9.5,2:20:00 PM,6.135,14498
1/8/2024,Trend,192,192,192,921,291,291,291,291,192,921,192,192,LT5,-4,2:25:00 PM,6.355,9668
1/9/2024,Trend,921,291,291,129,291,291,219,291,192,129,129,129,GT0,1,2:05:00 PM,6.157,9769
1/10/2024,Trend,921,192,129,129,129,129,291,291,129,291,291,291,GT0,0.1,2:15:00 PM,8.57,11916
1/11/2024,Trend,192,192,192,912,192,291,291,291,291,291,291,291,LT0,5,9:45:00 AM,6.667,12151
1/12/2024,Trend,291,921,921,129,192,192,192,192,192,921,912,192,GT10,-2.2,2:15:00 PM,9.614,19715
1/15/2024,Trend,129,912,912,291,291,291,129,921,291,921,921,921,LT5,-3.2,2:25:00 PM,5.263,10896
1/16/2024,Trend,921,219,291,129,129,192,192,921,291,129,129,129,GT5,9.3,2:15:00 PM,5.471,16771
1/17/2024,Trend,192,192,192,192,912,912,291,291,291,291,291,291,LT0,-6,2:10:00 PM,6.107,11884
1/18/2024,Trend,219,192,192,291,291,291,129,192,192,192,912,912,GT0,6.8,2:15:00 PM,5.051,7475
1/19/2024,Trend,192,192,192,912,912,219,921,921,291,129,129,129,GT0,13.5,1:45:00 PM,6.472,11397
1/22/2024,Trend,129,912,912,291,219,291,921,921,921,129,129,129,GT0,4,2:25:00 PM,6.981,11475
1/23/2024,Trend,192,912,921,291,291,291,291,291,291,291,291,291,LT5,-10,2:20:00 PM,7,10494
1/24/2024,Trend,129,192,192,921,291,129,129,912,921,921,291,291,LT0,-3.3,2:10:00 PM,5.86,16180
1/25/2024,Trend,291,291,291,129,192,921,129,291,291,291,291,129,GT0,-0.2,2:25:00 PM,4.146,12078
1/26/2024,Trend,192,192,192,192,291,291,192,291,129,129,129,129,GT0,6.5,2:15:00 PM,4.07,8540
1/29/2024,Trend,192,921,219,912,921,291,291,291,291,291,291,291,LT0,-3.4,2:10:00 PM,4.209,6588
1/30/2024,Trend,219,291,129,921,291,129,921,129,129,291,129,129,GT0,2.4,2:25:00 PM,4.299,8746
1/31/2024,Trend,192,921,921,921,291,291,921,921,921,291,291,291,LT20,-15,2:25:00 PM,9.449,11507
2/1/2024,Trend,291,192,192,192,192,912,129,129,291,291,219,219,GT5,6.2,1:40:00 PM,5.117,7046
2/2/2024,Trend,129,129,129,921,291,291,129,921,921,291,219,291,LT0,3.9,2:25:00 PM,6.106,8985
2/5/2024,Trend,129,192,192,912,912,912,129,129,129,192,192,192,GT20,21.4,1:55:00 PM,8.087,14715
2/6/2024,Trend,912,921,291,129,921,192,192,921,921,129,129,291,LT0,1.4,2:15:00 PM,4.672,6669
2/7/2024,Trend,129,192,912,192,129,129,192,192,192,192,192,912,,15.1,1:40:00 PM,5.815,7265
2/15/2024,Trend,192,192,291,129,192,192,192,129,129,921,921,921,LT0,-1.2,2:15:00 PM,7.885,7371
2/16/2024,Trend,129,129,129,129,921,291,129,192,912,912,192,192,GT0,5.6,11:00:00 AM,6.628,9912
2/19/2024,Trend,192,192,192,912,912,291,129,192,192,192,192,192,GT10,8.5,2:25:00 PM,10.406,9197
2/20/2024,Trend,912,921,921,192,192,921,129,291,129,129,129,291,GT0,-0.3,2:25:00 PM,3.889,10736
2/21/2024,Trend,921,192,192,912,921,291,291,129,192,129,129,129,GT0,-0.2,2:20:00 PM,9.2,11398
2/22/2024,Trend,921,291,291,291,219,219,921,291,291,291,291,291,LT0,-2,2:20:00 PM,7.006,8510
2/23/2024,Trend,129,192,921,192,129,129,921,291,921,921,921,921,LT10,-12.9,2:05:00 PM,13.731,20887
2/26/2024,Trend,291,291,219,921,291,291,129,129,192,192,192,192,GT0,5.2,1:20:00 PM,7.701,8156
2/27/2024,Trend,192,192,129,912,921,921,129,921,921,129,129,192,GT5,10.7,10:00:00 AM,10.465,10481
2/28/2024,Trend,192,192,912,921,291,129,129,129,129,192,192,192,GT10,25.2,1:10:00 PM,9.394,14573
2/29/2024,Trend,192,192,291,291,291,291,219,219,291,921,192,192,LT5,-3.4,2:00:00 PM,10.866,9714
3/1/2024,Trend,192,921,192,192,192,912,129,921,921,921,129,129,GT5,4,2:25:00 PM,8.363,13615
3/4/2024,Trend,192,192,912,291,291,219,192,192,192,921,921,921,LT0,1.6,2:15:00 PM,9.367,10248
3/5/2024,Trend,129,129,291,291,291,129,129,192,129,192,129,129,GT10,10.1,2:20:00 PM,8.995,13684
3/6/2024,Trend,192,192,921,291,291,291,921,921,921,291,219,129,LT10,-11.7,1:45:00 PM,9.759,17763
3/7/2024,Trend,129,192,192,192,192,291,129,129,192,192,192,192,GT5,6.6,2:15:00 PM,8.787,10958
3/8/2024,Trend,912,921,291,291,219,921,291,129,129,192,921,921,LT20,-19.6,2:15:00 PM,13.47,15643
3/11/2024,Trend,291,291,219,921,912,291,921,921,921,921,921,921,LT10,-22.8,2:20:00 PM,9.029,16934
3/12/2024,Trend,291,129,219,921,921,129,192,921,192,129,921,921,GT0,8.8,2:20:00 PM,7.556,13149
3/13/2024,Trend,192,192,192,192,192,192,192,129,129,192,192,192,GT20,31.5,2:00:00 PM,8.205,12660
3/14/2024,Trend,192,912,912,192,192,912,291,291,291,291,291,291,LT10,-10.5,2:00:00 PM,9.239,14001
3/15/2024,Trend,219,291,291,291,291,291,291,219,219,129,129,129,GT5,-0.8,2:20:00 PM,8.772,19166
3/18/2024,Trend,192,291,291,291,291,291,219,192,912,192,192,192,LT10,-29.1,10:20:00 AM,13.009,18390
3/19/2024,Trend,921,291,219,129,219,192,192,921,921,291,129,291,GT0,-0.9,2:15:00 PM,6.473,11155
3/20/2024,Trend,129,129,129,129,129,192,129,129,129,129,192,192,GT20,25.5,10:45:00 AM,9.259,16330
3/21/2024,Trend,192,192,192,129,129,129,192,291,291,129,129,129,GT0,20.2,11:15:00 AM,8.946,8246
3/22/2024,Trend,129,912,921,291,291,219,192,921,921,912,921,192,LT0,2,2:10:00 PM,11.166,12926
3/25/2024,Trend,291,291,192,912,912,291,291,291,129,291,291,291,LT5,-15.6,2:00:00 PM,8.906,13220
3/26/2024,Trend,291,219,192,192,192,192,192,192,192,192,192,192,GT10,16.1,2:15:00 PM,6.535,9418
3/27/2024,Trend,912,192,291,291,291,291,129,129,192,192,921,921,LT0,3,2:15:00 PM,6.368,10804
3/28/2024,Trend,129,129,192,291,291,291,129,192,921,129,129,129,GT5,18.9,2:25:00 PM,9.829,12690
3/29/2024,Trend,192,921,291,219,291,291,129,192,192,921,921,192,LT0,-8.8,2:05:00 PM,7.279,7743
4/1/2024,Trend,921,129,129,921,291,291,291,129,192,129,192,192,,-7.7,2:10:00 PM,7.951,11125
4/2/2024,Trend,921,291,291,291,291,129,192,192,192,192,192,192,GT5,-0.4,11:20:00 AM,11.524,15157
4/3/2024,Trend,921,921,129,921,921,921,291,129,921,921,921,921,LT10,-18.1,2:15:00 PM,8.57,16730
4/4/2024,Trend,129,129,921,921,291,291,291,219,921,192,921,921,LT5,-6.9,1:55:00 PM,8.582,11963
4/5/2024,Trend,921,291,291,192,192,192,192,192,912,192,192,921,GT0,-12.9,9:00:00 AM,8.506,12399
4/8/2024,Trend,921,291,291,129,291,291,129,192,192,912,921,921,LT0,2.1,2:15:00 PM,7.009,13419
4/9/2024,Trend,129,192,192,129,129,129,192,192,192,192,192,192,GT5,10,2:15:00 PM,5.906,7527
4/10/2024,Trend,192,192,192,291,291,291,921,291,291,291,291,291,LT5,-4.1,2:25:00 PM,6.446,13054
4/11/2024,Trend,921,291,291,192,129,129,192,192,192,921,912,921,GT5,2.9,2:15:00 PM,5.697,10209
4/12/2024,Trend,129,912,291,219,219,129,192,192,192,129,129,192,GT10,23,2:05:00 PM,7.853,17041
4/15/2024,Trend,912,192,192,291,219,291,129,921,921,921,921,921,LT20,-49,2:20:00 PM,11.439,24270
4/16/2024,Trend,291,291,291,291,291,921,921,921,192,921,192,921,LT5,-6.3,9:20:00 AM,10.788,16216
4/17/2024,Trend,192,192,291,291,291,291,921,921,921,921,921,921,LT10,-15.4,2:05:00 PM,7.024,14744
4/19/2024,Trend,291,291,219,921,921,921,129,129,129,192,921,921,LT0,-19.3,1:45:00 PM,8.949,17796
4/22/2024,Trend,192,192,192,192,921,921,129,192,192,921,921,921,GT0,13.6,2:20:00 PM,5.797,11504
4/23/2024,Trend,219,921,921,291,291,219,921,921,921,921,921,291,LT10,-4.7,2:00:00 PM,7.746,18168
